Pcp_File_Version=4
    2
    1  0.000000e+000  1.000000e+000  1.000000e+000
    2 -2.540000e+003  1.000000e+000  1.000000e+000
  351    0    0    1 x         h      Mat  Lay      Beta           Axz            Bxz            Dxz          Temp          Conc           SConc
    1 -0.000000e+000 -3.000000e+003    1    1  1.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    2 -7.257140e+000 -3.000000e+003    1    1  9.971430e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    3 -1.451430e+001 -3.000000e+003    1    1  9.942860e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    4 -2.177140e+001 -3.000000e+003    1    1  9.914290e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    5 -2.902860e+001 -3.000000e+003    1    1  9.885710e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    6 -3.628570e+001 -3.000000e+003    1    1  9.857140e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    7 -4.354290e+001 -3.000000e+003    1    1  9.828570e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    8 -5.080000e+001 -3.000000e+003    1    1  9.800000e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    9 -5.805710e+001 -3.000000e+003    1    1  9.771430e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   10 -6.531430e+001 -3.000000e+003    1    1  9.742860e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   11 -7.257140e+001 -3.000000e+003    1    1  9.714290e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   12 -7.982860e+001 -3.000000e+003    1    1  9.685710e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   13 -8.708570e+001 -3.000000e+003    1    1  9.657140e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   14 -9.434290e+001 -3.000000e+003    1    1  9.628570e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   15 -1.016000e+002 -3.000000e+003    1    1  9.600000e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   16 -1.088570e+002 -3.000000e+003    1    1  9.571430e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   17 -1.161140e+002 -3.000000e+003    1    1  9.542860e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   18 -1.233710e+002 -3.000000e+003    1    1  9.514290e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   19 -1.300000e+002 -3.000000e+003    2    1  9.485710e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   20 -1.378860e+002 -3.000000e+003    2    1  9.457140e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   21 -1.451430e+002 -3.000000e+003    2    1  9.428570e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   22 -1.524000e+002 -3.000000e+003    2    1  9.400000e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   23 -1.596570e+002 -3.000000e+003    2    1  9.371430e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   24 -1.669140e+002 -3.000000e+003    2    1  9.342860e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   25 -1.741710e+002 -3.000000e+003    2    1  9.314290e-001  1.000000e+000  1.000000e+000  1.000000e+000              
